Area_Name,Year,Cases_Property_Stolen,Victims_Total,Total_Cases_for_Trial,Unnamed: 3
Chandigarh,2001,364,10,0,0.0
Chandigarh,2001,364,10,0,0.0
Chandigarh,2001,364,10,338,
Chandigarh,2001,364,15,45,
Chandigarh,2001,364,15,70,
Chandigarh,2001,364,15,9,
Chandigarh,2001,364,15,72,
Chandigarh,2001,364,15,30,
Chandigarh,2001,364,15,90,
Chandigarh,2001,364,15,0,
Chandigarh,2001,364,15,0,22.0
Chandigarh,2001,364,15,0,0.0
Chandigarh,2001,364,15,0,0.0
Chandigarh,2001,364,15,0,0.0
Chandigarh,2001,364,15,338,
Chhattisgarh,2001,4144,549,4645,
Chhattisgarh,2001,4144,549,987,
Chhattisgarh,2001,4144,549,259,
Chhattisgarh,2001,4144,549,7353,
Chhattisgarh,2001,4144,549,966,
Chhattisgarh,2001,4144,549,2751,
Chhattisgarh,2001,4144,549,0,
Chhattisgarh,2001,4144,549,0,25.0
Chhattisgarh,2001,4144,549,0,0.0
Chhattisgarh,2001,4144,549,0,0.0
Chhattisgarh,2001,4144,549,0,0.0
Chhattisgarh,2001,4144,549,17105,
Chhattisgarh,2001,4144,1108,4645,
Chhattisgarh,2001,4144,1108,987,
Chhattisgarh,2001,4144,1108,259,
Chhattisgarh,2001,4144,1108,7353,
Chhattisgarh,2001,4144,1108,966,
Chhattisgarh,2001,4144,1108,2751,
Chhattisgarh,2001,4144,1108,0,
Chhattisgarh,2001,4144,1108,0,25.0
Chhattisgarh,2001,4144,1108,0,0.0
Chhattisgarh,2001,4144,1108,0,0.0
Chhattisgarh,2001,4144,1108,0,0.0
Chhattisgarh,2001,4144,1108,17105,
Chhattisgarh,2001,4144,1657,4645,
Chhattisgarh,2001,4144,1657,987,
Chhattisgarh,2001,4144,1657,259,
Chhattisgarh,2001,4144,1657,7353,
Chhattisgarh,2001,4144,1657,966,
Chhattisgarh,2001,4144,1657,2751,
Chhattisgarh,2001,4144,1657,0,
Chhattisgarh,2001,4144,1657,0,25.0
Chhattisgarh,2001,4144,1657,0,0.0
Chhattisgarh,2001,4144,1657,0,0.0
Chhattisgarh,2001,4144,1657,0,0.0
Chhattisgarh,2001,4144,1657,17105,
Dadra & Nagar Haveli,2001,34,3,22,
Dadra & Nagar Haveli,2001,34,3,7,
Dadra & Nagar Haveli,2001,34,3,3,
Dadra & Nagar Haveli,2001,34,3,18,
Dadra & Nagar Haveli,2001,34,3,1,
Dadra & Nagar Haveli,2001,34,3,18,
Dadra & Nagar Haveli,2001,34,3,0,
Dadra & Nagar Haveli,2001,34,3,0,0.0
Dadra & Nagar Haveli,2001,34,3,0,0.0
Dadra & Nagar Haveli,2001,34,3,0,0.0
Dadra & Nagar Haveli,2001,34,3,0,0.0
Dadra & Nagar Haveli,2001,34,3,69,
Dadra & Nagar Haveli,2001,34,3,22,
Dadra & Nagar Haveli,2001,34,3,7,
Dadra & Nagar Haveli,2001,34,3,3,
Dadra & Nagar Haveli,2001,34,3,18,
Dadra & Nagar Haveli,2001,34,3,1,
Dadra & Nagar Haveli,2001,34,3,18,
Dadra & Nagar Haveli,2001,34,3,0,
Dadra & Nagar Haveli,2001,34,3,0,0.0
Dadra & Nagar Haveli,2001,34,3,0,0.0
Dadra & Nagar Haveli,2001,34,3,0,0.0
Dadra & Nagar Haveli,2001,34,3,0,0.0
Dadra & Nagar Haveli,2001,34,3,69,
Delhi,2001,3029,152,1760,
Delhi,2001,3029,152,1365,
Delhi,2001,3029,152,595,
Delhi,2001,3029,152,1294,
Delhi,2001,3029,152,325,
Delhi,2001,3029,152,458,
Delhi,2001,3029,152,0,
Delhi,2001,3029,152,0,712.0
Delhi,2001,3029,152,0,0.0
Delhi,2001,3029,152,0,6.0
Delhi,2001,3029,152,0,0.0
Delhi,2001,3029,152,6580,
Delhi,2001,3029,422,1760,
Delhi,2001,3029,422,1365,
Delhi,2001,3029,422,595,
Delhi,2001,3029,422,1294,
Delhi,2001,3029,422,325,
Delhi,2001,3029,422,458,
Delhi,2001,3029,422,0,
Delhi,2001,3029,422,0,712.0
Delhi,2001,3029,422,0,0.0
Delhi,2001,3029,422,0,6.0
Delhi,2001,3029,422,0,0.0
Delhi,2001,3029,422,6580,
Delhi,2001,3029,574,1760,
Delhi,2001,3029,574,1365,
Delhi,2001,3029,574,595,
Delhi,2001,3029,574,1294,
Delhi,2001,3029,574,325,
Delhi,2001,3029,574,458,
Delhi,2001,3029,574,0,
Delhi,2001,3029,574,0,712.0
Delhi,2001,3029,574,0,0.0
Delhi,2001,3029,574,0,6.0
Delhi,2001,3029,574,0,0.0
Delhi,2001,3029,574,6580,
Goa,2001,347,13,67,
Goa,2001,347,13,42,
Goa,2001,347,13,11,
Goa,2001,347,13,84,
Goa,2001,347,13,31,
Goa,2001,347,13,54,
Goa,2001,347,13,0,
Goa,2001,347,13,0,90.0
Goa,2001,347,13,0,0.0
Goa,2001,347,13,0,0.0
Goa,2001,347,13,0,0.0
Goa,2001,347,13,379,
Goa,2001,347,24,67,
Goa,2001,347,24,42,
Goa,2001,347,24,11,
Goa,2001,347,24,84,
Goa,2001,347,24,31,
Goa,2001,347,24,54,
Goa,2001,347,24,0,
Goa,2001,347,24,0,90.0
Goa,2001,347,24,0,0.0
Goa,2001,347,24,0,0.0
Goa,2001,347,24,0,0.0
Goa,2001,347,24,379,
Goa,2001,347,37,67,
Goa,2001,347,37,42,
Goa,2001,347,37,11,
Goa,2001,347,37,84,
Goa,2001,347,37,31,
Goa,2001,347,37,54,
Goa,2001,347,37,0,
Goa,2001,347,37,0,90.0
Goa,2001,347,37,0,0.0
Goa,2001,347,37,0,0.0
Goa,2001,347,37,0,0.0
Goa,2001,347,37,379,
Gujarat,2001,4928,363,2131,
Gujarat,2001,4928,363,4704,
Gujarat,2001,4928,363,507,
Gujarat,2001,4928,363,5881,
Gujarat,2001,4928,363,624,
Gujarat,2001,4928,363,17921,
Gujarat,2001,4928,363,0,
Gujarat,2001,4928,363,0,186.0
Gujarat,2001,4928,363,0,0.0
Gujarat,2001,4928,363,0,78.0
Gujarat,2001,4928,363,0,0.0
Gujarat,2001,4928,363,32043,
Gujarat,2001,4928,917,2131,
Gujarat,2001,4928,917,4704,
Gujarat,2001,4928,917,507,
Gujarat,2001,4928,917,5881,
Gujarat,2001,4928,917,624,
Gujarat,2001,4928,917,17921,
Gujarat,2001,4928,917,0,
Gujarat,2001,4928,917,0,186.0
Gujarat,2001,4928,917,0,0.0
Gujarat,2001,4928,917,0,78.0
Gujarat,2001,4928,917,0,0.0
Gujarat,2001,4928,917,32043,
Gujarat,2001,4928,1280,2131,
Gujarat,2001,4928,1280,4704,
Gujarat,2001,4928,1280,507,
Gujarat,2001,4928,1280,5881,
Gujarat,2001,4928,1280,624,
Gujarat,2001,4928,1280,17921,
Gujarat,2001,4928,1280,0,
Gujarat,2001,4928,1280,0,186.0
Gujarat,2001,4928,1280,0,0.0
Gujarat,2001,4928,1280,0,78.0
Gujarat,2001,4928,1280,0,0.0
Gujarat,2001,4928,1280,32043,
Haryana,2001,3098,143,1022,
Haryana,2001,3098,143,881,
Haryana,2001,3098,143,972,
Haryana,2001,3098,143,2444,
Haryana,2001,3098,143,976,
Haryana,2001,3098,143,3633,
Haryana,2001,3098,143,0,
Haryana,2001,3098,143,0,51.0
Haryana,2001,3098,143,0,0.0
Haryana,2001,3098,143,0,0.0
Haryana,2001,3098,143,0,0.0
Haryana,2001,3098,143,9980,
Haryana,2001,3098,675,1022,
Haryana,2001,3098,675,881,
Haryana,2001,3098,675,972,
Haryana,2001,3098,675,2444,
Haryana,2001,3098,675,976,
Haryana,2001,3098,675,3633,
Haryana,2001,3098,675,0,
Haryana,2001,3098,675,0,51.0
Haryana,2001,3098,675,0,0.0
Haryana,2001,3098,675,0,0.0
Haryana,2001,3098,675,0,0.0
Haryana,2001,3098,675,9980,
Haryana,2001,3098,818,1022,
Haryana,2001,3098,818,881,
Haryana,2001,3098,818,972,
Haryana,2001,3098,818,2444,
Haryana,2001,3098,818,976,
Haryana,2001,3098,818,3633,
Haryana,2001,3098,818,0,
Haryana,2001,3098,818,0,51.0
Haryana,2001,3098,818,0,0.0
